pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage,price_per_sqm
39840192,Nhà riêng,Hoàng Mai,2024-05-13,59.0,7350000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,3,4,-1.0,-1.0,124576271.0
38814959,Nhà riêng,Đống Đa,2024-05-11,130.0,17000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,3,-1.0,8.0,130769231.0
39835995,Nhà mặt phố,Cầu Giấy,2024-05-13,50.0,11550000000.0,Sổ đỏ/ sổ hồng,Cơ bản,3,2,4,4.0,4.0,231000000.0
39835951,Nhà riêng,Cầu Giấy,2024-05-13,37.0,11200000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,3,4,7,3.0,3.9,302702703.0
39835907,Nhà riêng,Cầu Giấy,2024-05-13,42.0,10500000000.0,Sổ đỏ/ sổ hồng,Cơ bản,4,4,6,4.0,4.2,250000000.0
39691183,Nhà mặt phố,Cầu Giấy,2024-05-13,80.0,36500000000.0,Sổ đỏ/ sổ hồng,Cơ bản,2,-1,8,-1.0,-1.0,456250000.0
39613220,Nhà mặt phố,Tây Hồ,2024-05-13,22.0,7300000000.0,Sổ đỏ/ sổ hồng,Khác,3,-1,5,-1.0,-1.0,331818182.0
39615866,Nhà riêng,Tây Hồ,2024-05-13,46.0,10500000000.0,Sổ đỏ/ sổ hồng,Khác,6,-1,5,-1.0,-1.0,228260870.0
39840248,Nhà riêng,Cầu Giấy,2024-05-13,65.0,11300000000.0,Khác,Khác,-1,-1,7,-1.0,7.0,173846154.0
39840491,Nhà riêng,Thanh Xuân,2024-05-13,58.0,11500000000.0,Sổ đỏ/ sổ hồng,Cơ bản,4,4,5,9.0,4.0,198275862.0
38939150,Nhà mặt phố,Tây Hồ,2024-05-08,70.0,19000000000.0,Khác,Khác,-1,-1,3,-1.0,6.5,271428571.0
39840257,Nhà riêng,Hai Bà Trưng,2024-05-13,52.0,4730000000.0,Khác,Khác,3,3,3,-1.0,-1.0,90961538.0
39840474,Nhà mặt phố,Cầu Giấy,2024-05-13,57.0,19500000000.0,Sổ đỏ/ sổ hồng,Khác,6,6,5,-1.0,4.0,342105263.0
39810443,Nhà riêng,Đống Đa,2024-05-10,41.0,6700000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,5,4,3.0,5.5,163414634.0
39608095,Nhà biệt thự liền kề,Long Biên,2024-05-13,229.0,41449000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,-1,-1,4,-1.0,-1.0,181000000.0
39367965,Nhà riêng,Tây Hồ,2024-04-21,42.0,6000000000.0,Sổ đỏ/ sổ hồng,Cơ bản,4,3,4,3.0,4.2,142857143.0
39594680,Nhà riêng,Thanh Xuân,2024-05-07,75.0,19000000000.0,Sổ đỏ/ sổ hồng,Khác,6,4,5,-1.0,-1.0,253333333.0
