Unnamed: 0,type_estate,district,price_per_sqm,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
195,3,8,"~89,64 triệu/m²",11/05/2024,222.0,"19,9 tỷ",252,146,8,6,5,12.181061122472167,12.0
196,4,27,"~468,16 triệu/m²",13/05/2024,267.0,125 tỷ,139,294,6,6,8,12.181061122472167,9.0
198,3,11,,13/05/2024,120.0,Thỏa thuận,139,53,6,6,4,12.181061122472167,6.78865638058502
199,3,8,"~127,5 triệu/m²",13/05/2024,200.0,"25,5 tỷ",139,146,6,6,4,12.181061122472167,8.0
200,4,27,,13/05/2024,110.0,Thỏa thuận,252,146,6,6,4,54.0,6.0
202,3,8,,13/05/2024,220.0,Thỏa thuận,251,146,6,6,4,12.181061122472167,6.78865638058502
203,5,24,~190 triệu/m²,13/05/2024,50.0,"9,5 tỷ",252,146,5,5,5,12.181061122472167,6.78865638058502
204,5,21,"~230,44 triệu/m²",13/05/2024,69.0,"15,9 tỷ",252,146,4,6,4,12.181061122472167,6.78865638058502
206,3,8,,13/05/2024,100.0,Thỏa thuận,133,146,6,6,5,12.181061122472167,17.0
207,6,5,"~291,67 triệu/m²",13/05/2024,240.0,70 tỷ,118,146,6,6,5,12.181061122472167,10.0
208,3,24,"~310,88 triệu/m²",13/05/2024,96.5,30 tỷ,133,146,6,8,5,11.0,5.5
209,5,10,"~136,36 triệu/m²",13/05/2024,33.0,"4,5 tỷ",252,53,3,4,5,4.0,4.4
210,5,12,"~146,43 triệu/m²",13/05/2024,42.0,"6,15 tỷ",252,42,3,4,5,3.0,4.0
211,4,2,"~468,23 triệu/m²",13/05/2024,299.0,140 tỷ,252,294,6,6,8,8.0,16.0
212,4,11,~375 triệu/m²,13/05/2024,40.0,15 tỷ,252,146,6,6,6,12.181061122472167,6.78865638058502
213,5,24,"~241,67 triệu/m²",13/05/2024,60.0,"14,5 tỷ",252,160,19,19,8,3.0,4.5
214,5,11,"~121,88 triệu/m²",13/05/2024,32.0,"3,9 tỷ",252,294,3,3,4,12.181061122472167,6.78865638058502
215,3,11,"~147,5 triệu/m²",13/05/2024,200.0,"29,5 tỷ",252,294,4,5,3,13.0,10.0
216,4,9,"~1,02 tỷ/m²",13/05/2024,221.0,225 tỷ,139,146,6,6,4,12.181061122472167,6.78865638058502
217,3,12,"~213,59 triệu/m²",13/05/2024,103.0,22 tỷ,253,146,6,6,6,22.0,6.0
